时间,条目, 支出 , 收入 
2019/5/27,匿名捐款(无渠道),, ¥200.00 
2019/5/31,云服务器, ¥-70.88 ,
2019/6/1,匿名捐款(无渠道),, ¥100.00 
2019/6/2,云服务器, ¥-232.36 ,
2019/6/2,匿名捐款(无渠道),, ¥40.69 
2019/6/3,匿名捐款(无渠道),, ¥114.44 
2019/6/3,匿名捐款(无渠道),, ¥93.35 
2019/6/3,云服务器, ¥-218.00 ,
2019/6/3,匿名捐款(无渠道),, ¥93.35 
2019/6/11,匿名捐款(无渠道),, ¥75.00 
2019/6/15,匿名捐款(QQ),, ¥25.00 
2019/6/15,云服务器, ¥-235.84 ,
2019/6/15,匿名捐款(无渠道),, ¥98.17 
2019/6/16,匿名捐款(QQ),, ¥5.45 
2019/6/17,匿名捐款(QQ),, ¥100.00 
2019/6/21,匿名捐款(QQ),, ¥100.00 
2019/6/23,匿名捐款(支付宝),, ¥6.12 
2019/6/24,匿名捐款(支付宝),, ¥70.00 
2019/6/30,云服务器网络流量, ¥-23.30 ,
2019/7/1,云服务器, ¥-523.00 ,
2019/7/1,云服务器, ¥-137.37 ,
2019/7/1,云服务器退款,, ¥147.49 
2019/7/1,匿名捐款(无渠道),, ¥127.37 
2019/7/1,匿名捐款(无渠道),, ¥163.00 
2019/7/2,匿名捐款(支付宝),, ¥10.00 
2019/7/31,云服务器网络流量, ¥-10.90 ,
2019/8/3,云服务器," ¥-2,589.12 ",
2019/8/3,匿名捐款(无渠道),," ¥2,433.75 "
2019/8/9,云服务器, ¥-31.84 ,
2019/8/31,云服务器网络流量, ¥-2.04 ,
2019/9/16,匿名捐款(无渠道),, ¥102.04 
2019/9/30,云服务器存储, ¥-3.49 ,
2019/10/22,匿名捐款(爱发电),, ¥5.00 
2019/10/22,匿名捐款(爱发电),, ¥5.00 
2019/10/22,匿名捐款(爱发电),, ¥5.00 
2019/10/22,匿名捐款(爱发电),, ¥20.00 
2019/10/22,匿名捐款(爱发电),, ¥20.00 
2019/10/22,匿名捐款(爱发电),, ¥5.00 
2019/10/29,匿名捐款(爱发电),, ¥30.00 
2019/10/29,域名(按30%总费用计), ¥-46.71 ,
2019/10/31,云服务器存储, ¥-7.44 ,
2019/11/8,匿名捐款(爱发电),, ¥5.00 
2019/11/30,云服务器存储, ¥-7.20 ,
2019/12/31,云服务器存储, ¥-7.44 ,
2020/1/5,匿名捐款(爱发电),, ¥20.00 
2020/1/28,匿名捐款(爱发电),, ¥15.00 
2020/1/31,云服务器存储, ¥-7.44 ,
2020/2/2,匿名捐款(爱发电),, ¥10.00 
2020/2/3,总计收入,," ¥4,245.22 "
2020/2/4,总计支出," ¥-4,154.37 ",
2020/2/5,结余,, ¥90.85 
